business_id,name,address,city,state,postal_code,latitude,longitude,stars,categories
cGsewW-9GdycDS3YT_eUMA,The Cheesecake Factory - Indianapolis,"8701 Keystone Crossing, Ste 4A",Indianapolis,IN,46240,39.9135560495,-86.1083935818,3.0,"Salad, Desserts, Restaurants, Food, American (Traditional), Seafood, American (New)"
wmBifxnIt93TEqQKmWfOaw,HYPER,10222 Bach Blvd,St. Louis,MO,63132,38.6903058,-90.386067911,3.0,"Furniture Reupholstery, Restaurants, Food Court, Carpet Cleaning, Damage Restoration, Air Duct Cleaning, Local Services, Home Services"
vIHYjFR8_hmmGzATlVSr-Q,TreJo American & Mexican Restaurant,505 Swede St,Norristown,PA,19401,40.116361427,-75.3436052799,4.5,"Restaurants, Mexican"
m2QhXyrvZ2Ksp41u-tHHOw,Chicken Hot & Pizza,28 E 10th St,Marcus Hook,PA,19061,39.820383,-75.4165935,3.0,"Pizza, Restaurants"
s6fZdsgbT5yZM40t9Q5RlQ,Egg Roll House,3507 Veterans Memorial Blvd,Metairie,LA,70002,30.0040797,-90.160002,3.0,"Japanese, Restaurants, Chinese"
Kd1rSxzR4IsvdPH1Z2cKTQ,New Britain Inn,376 W Butler Ave,Doylestown,PA,18901,40.2936876,-75.1931366,3.5,"Pubs, Bars, Restaurants, Nightlife"
0Hdvz0Ups_nN9kIb3uo4VA,Curran's Irish Inn,1909 Bristol Pike,Bensalem,PA,19020,40.0759765364,-74.9543717313,2.5,"Nightlife, Restaurants, Pubs, Irish Pub, Bars, American (Traditional), Sports Bars"
T0MvxzVMMczJ_Eips6XGaQ,Harvest Seasonal Grill & Wine Bar - Glen Mills,549 Wilmington Pike,Glen Mills,PA,19342,39.8654948,-75.543182,4.0,"American (Traditional), Nightlife, Wine Bars, Caterers, Bars, Restaurants, Vegan, Local Flavor, Vegetarian, Beer, Wine & Spirits, Event Planning & Services, Gluten-Free, Venues & Event Spaces, Food, American (New)"
AGg27NeUXbVDYbRHojF7Rw,El Jefe Alitas & Taqueria,918 E Willow Grove Ave,Wyndmoor,PA,19038,40.0827104,-75.1881953,4.0,"Mexican, Restaurants"
4tkJsi6j-HcEeePbpmXhcg,E+ROSE Wellness Cafe of Brentwood,700 Old Hickory Blvd,Brentwood,TN,37027,36.041025,-86.76929,4.5,"Food, Juice Bars & Smoothies, Vegan, Restaurants, Acai Bowls"
MXg71NcrR-rtHuzjeGCh_A,Kanto 98 St. Eatery,10636 - 98 Street,Edmonton,AB,T5H 2N7,53.550912,-113.490685,4.0,"Restaurants, Barbeque, Filipino"
GDnr1VJjoKRokpuCMWrtog,Lakeview Cafe,329 N 10th Ave,Royersford,PA,19468,40.196174,-75.532448,3.5,"Cafes, Event Planning & Services, Breakfast & Brunch, Restaurants, Caterers"
cn3GfkDkzhwWBKDNgsiQLA,Romeo Pizza,1608 W Passyunk Ave,Philadelphia,PA,19145,39.9245699,-75.173413,2.5,"Restaurants, Pizza"
NrrbQYaO_3idDi5IMjVOjg,Roundhouse Bar and Grill at Holiday Inn,2261 N Causeway Blvd,Metairie,LA,70001,29.9935903,-90.1549946,2.0,"Restaurants, Food, American (Traditional)"
wIk7G60aollwXqn72HxIRA,Bella Vita Pizzeria,809 W Atlantic Ave,Laurel Springs,NJ,08021,39.8221,-75.005784,3.5,"Pizza, Restaurants"
iNeY7_CEDAf6AdFSaI8_qQ,New Spatola's Pizza,6002 Easton Rd,Pipersville,PA,18947,40.3906019,-75.1479026,3.5,"Pizza, Italian, American (Traditional), Restaurants"
8piKZNyXUZeG8LVhJDihpg,Lodgepole Cafe,22222 Mt Rose Hwy,Reno,NV,89511,39.3283089,-119.8854661,3.5,"Breakfast & Brunch, Pizza, Restaurants, American (Traditional)"
drGXBdOjpY9UdSQLpZSshA,Gamar Family Market,"1800 E Fort Lowell Rd, Ste 128",Tucson,AZ,85719,32.2641365,-110.9449355,4.5,"Imported Food, Herbs & Spices, Cosmetics & Beauty Supply, International Grocery, Beauty & Spas, Specialty Food, Ethnic Food, Shopping, Restaurants, Food, Mediterranean"
YuVllLafdFUt9o2GexaxGg,El Limon Havertown ,1304 Edgewood Rd,Havertown,PA,19083,39.9846921,-75.291448,4.0,"Mexican, Restaurants"
b6_HDIygAfbG9SZWbZMD_g,Asaka Japanese Restaurant,6414 E 82nd St,Indianapolis,IN,46250,39.906797,-86.056162,4.5,"Sushi Bars, Restaurants, Japanese"
yy6suHtRjIg3RwsNt5vstA,Sandpiper Golf Club,7925 Hollister Ave,Goleta,CA,93117,34.4307328982,-119.9072168552,3.5,"Restaurants, American (Traditional), Active Life, Golf"
MKAPSsMrulKrjefB2Jv19Q,Irish 31- Clearwater Beach,486 Poinsettia Ave,Clearwater Beach,FL,33767,27.9816322,-82.8262439,4.0,"American (Traditional), Irish Pub, Pubs, Irish, Restaurants, Bars, Nightlife"
50nOu5uopq2EbrSM90ZxOQ,Three Ddd's Steaks & Hoagies,448 Moores Ln,New Castle,DE,19720,39.678327,-75.566383,3.5,"Delis, Pizza, Restaurants"
LC40v_OUVWNmOsCI44cS2g,Sunoco Gulfport,5150 Gulfport Blvd S,Gulfport,FL,33707,27.7480424,-82.7034979,2.5,"Food, Automotive, Convenience Stores, Gas Stations, Restaurants, Delis"
QBYy6D6ngZSnkXUStvpW4w,Cerealholic Cafe and Bar,1909 N 15th St,Tampa,FL,33605,27.9614157,-82.4427268,4.5,"Restaurants, Bars, Beer, Wine & Spirits, Nightlife, Beer Bar, Breakfast & Brunch, Food, American (New)"
UhjfJpaAzgSYrTZ_dMMF1Q,Philly Diner,51 Industrial Hwy,Essington,PA,19029,39.8674080649,-75.3082371545,2.5,"Restaurants, Diners"
nk96iwJV1_p2HECYQW1ysA,French Quarter Phantoms,718 N Rampart St,New Orleans,LA,70116,29.9607674,-90.0680859,4.5,"Public Services & Government, Landmarks & Historical Buildings, Walking Tours, Art Tours, Restaurants, Hotels & Travel, Historical Tours, Tours, Barbeque, Local Flavor"
GatfxVfuRZwd84MyUe8xaA,The Ravioli Company,5130 S Dale Mabry Hwy,Tampa,FL,33611,27.89062,-82.505933,4.5,"Restaurants, Event Planning & Services, Caterers, Specialty Food, Pasta Shops, Food, Italian"
gOS6rbrF6E42M4Iv0rEpZw,Little Pete's Steaks,6701 State Rd,Philadelphia,PA,19135,40.0218539,-75.0400981,5.0,"Restaurants, Delis, Sandwiches"
d1sIHLt1NmXmawO6mP9gYw,Hidalgo's,30 W State St,Media,PA,19063,39.9178819,-75.3906528,4.0,"Restaurants, Mexican, New Mexican Cuisine"
0ac0d0JH7PPjBO_iZcOTDg,Pan's Soul Food,5751 Old Hickory Blvd,Nashville-Davidson metropolitan government (balance),TN,37076,36.1733093,-86.6026487,4.0,"Restaurants, American (Traditional), Southern, Soul Food, Sandwiches"
vbH8RTnw5UD6m3lFV-NeJQ,Baja Fresh Mexican Grill,"5140 Kietzke Ln, Ste A",Reno,NV,89511,39.4751419,-119.7922305,3.5,"Restaurants, Mexican, Tex-Mex, Fast Food"
yvgzF1sF3R7PJF_klgZHrw,Oodle Noodle Sherwood Park,3890 Sherwood Drive,Edmonton,AB,T8H 0Z9,53.5555728,-113.2931784,3.5,"Asian Fusion, Restaurants, Noodles"
aPs-Pf4_CLWcFQcMnbfcUw,WINO  Wine Institute of New Orleans,610 Tchoupitoulas St,New Orleans,LA,70130,29.947154,-90.067154,4.5,"Wineries, Arts & Entertainment, Beer, Wine & Spirits, Education, Bars, Nightlife, Specialty Schools, Restaurants, Food, Wine Tasting Room, Wine Bars"
Jxc2zxU6R2zSHlNEFD8Bvw,Patty's Place Family Restaurant,3820 W Lincoln Hwy,Downingtown,PA,19335,39.9959197822,-75.744077,3.5,"Restaurants, Breakfast & Brunch, American (Traditional)"
dG-gZOWzn8iO1Rvv_fbXxA,Silk City Diner & Lounge,435 Spring Garden St,Philadelphia,PA,19123,39.9613271,-75.1460328,4.0,"Dance Clubs, Bars, Diners, Breakfast & Brunch, Lounges, Restaurants, Nightlife, American (New)"
e_rHcZom67eE8vepInkxXg,A Little Italian,,Nashville,TN,37210,36.1482458,-86.7366082,5.0,"Restaurants, Italian, Food Trucks, Food"
n1ILbrSXiERCMR6w2cBPJA,O’A Sushi,3326 S McCarran Blvd,Reno,NV,89502,39.483857,-119.7469072,4.5,"Restaurants, Sushi Bars"
-Q5QwYaQmg_AQ6N6yUk4Pg,Del Lobo Mexican Grille,1664 N Virginia St,Reno,NV,89503,39.5441328041,-119.8158970962,2.5,"Restaurants, Mexican"
jK88PXVmWIbj86nYO_MHlw,Planchette,95 E Butler Ave,Ambler,PA,19002,40.1547719,-75.2217773,4.5,"Creperies, Salad, Restaurants, French"
b9NLnpv-nXj8ilX6NuhkLg,Chianti Cafe & Restaurant - Old Strathcona,10501 82 Avenue NW,Edmonton,AB,T6E 2A3,53.5182094716,-113.5002148524,3.5,"Salad, Italian, Restaurants, Gluten-Free"
4U8tToDb49xGDzWfn5TPaA,Datz,6264 Winthrop Town Centre Ave,Riverview,FL,33578,27.8920321,-82.3170375,3.5,"Salad, Burgers, Bars, Nightlife, Restaurants, Sandwiches, Cocktail Bars, American (Traditional), Breakfast & Brunch, American (New), Comfort Food"
rqaIe-61HKlWaGYmVwlw8Q,Petite 4,4 N Latah St,Boise,ID,83706,43.6046712,-116.22804,4.5,"Food, Restaurants, French, Beer, Wine & Spirits"
-fK9wuD1tw9TPDta91WgTA,Girl & A Grill,4330 N Nebraska Ave,Tampa,FL,33603,27.9849870132,-82.4514048547,4.5,"Breakfast & Brunch, Restaurants"
Ldch7Nc5gaZrhcIRd7mcjw,Kabuki Sushi,45 N 13th St,Philadelphia,PA,19107,39.9535852,-75.1609794,4.0,"Japanese, Sushi Bars, Restaurants"
WdGDHENEKgw5j9jtfopF9w,Bella Napoli Pizzeria,1065 Township Line Rd,Phoenixville,PA,19460,40.130654,-75.545991,2.5,"Restaurants, Pizza, Italian"
8NKKQv7GL-S3je-A2IQThA,Shaw's Coffee,5147 Shaw Ave,Saint Louis,MO,63110,38.6180427,-90.2722666,4.0,"Restaurants, Coffee & Tea, Food"
9jHgloOaXt-clmnOmwZNZw,Ted's Montana Grill - Traders Point,"5910 W 86th St, Ste 134",Indianapolis,IN,46278,39.9129477685,-86.2651711604,4.0,"Steakhouses, Burgers, American (Traditional), Restaurants"
_ID5OUL42plmejjTAr-CzQ,Ajw Jamaican and American Food,4507 N Broad St,Philadelphia,PA,19140,40.0216616,-75.1481649,2.0,"Breakfast & Brunch, Caribbean, Restaurants"
SgsjB5EBTeT2hVX5VxgHaQ,Jay's New York Style Pizza,138 S Dale Mabry Hey,Tampa,FL,33609,27.9432548,-82.505341,2.5,"Restaurants, Pizza"
zVUgD30JzlxUke3IHTlGTg,Leo’s Bread,2438 Bell St,New Orleans,LA,70119,29.9756174986,-90.076274432,4.5,"Bakeries, Bagels, Desserts, Restaurants, Breakfast & Brunch, Food"
V5joRorS5dBNDXD669n6jg,Germantown Garden,1029 Germantown Ave,Philadelphia,PA,19123,39.966258,-75.1382568,3.0,"Restaurants, Bars, Breakfast & Brunch, Cocktail Bars, Nightlife, Lounges, American (Traditional)"
r2m-P3_xkb78p0urzidf6w,Tacos y Mariscos Lindo Mexico,917B Gallatin Pike S,Madison,TN,37115,36.2516354858,-86.7173904,4.5,"Food Trucks, Tacos, Mexican, Food, Restaurants"
uE05fHI5V2ZWi5Uo9-hwqQ,Burger Bar,10460 120 Street,Edmonton,AB,T5K 0T2,53.547509438,-113.528724622,2.5,"Burgers, Restaurants"
BezqD-P5BBzUJcmBc0Xcfw,Rendez-vous creole restaurant,3042 General Collins Ave,New Orleans,LA,70114,29.9238403,-90.0149929,4.0,"Caribbean, Cajun/Creole, Haitian, Restaurants"
7gcwopSaFng9Rx-jRhfmuQ,Mama G's St.Pete,6114 54th Ave N,Kenneth City,FL,33709,27.8206743,-82.7187601,4.5,"Restaurants, German, Desserts, Food, Bakeries, Coffee & Tea"
2h3SEwpI6fiuTF9mcN1S_Q,El Zarape,1435 San Andres St,Santa Barbara,CA,93101,34.4185582,-119.7161005,4.0,"Restaurants, Mexican"
r4eDzodjjoxk79ydS7V67Q,1518 Bar & Grill,1518 Sansom St,Philadelphia,PA,19102,39.9501977,-75.1666386,4.0,"American (New), Nightlife, Cocktail Bars, Breweries, Bars, Restaurants, Food, American (Traditional)"
yx32jmqWOQ2ZB3RsRRfRrA,Mr. Wish USA,320 W Oregon Ave,Philadelphia,PA,19148,39.9127689,-75.1535348,4.5,"Bubble Tea, Restaurants, Cafes, Food, Coffee & Tea, Juice Bars & Smoothies"
UDD4X5TLUMARishbXUQA2w,Cadillac Grille,3601 S Broad St,Philadelphia,PA,19148,39.9011799,-75.1719716,3.0,"Restaurants, Steakhouses"
3gdrkgLottvuOfkWRsDJ2w,B Sweet Bistro,700 N Rampart St,New Orleans,LA,70116,29.9604226145,-90.0681857765,3.5,"Food Court, Restaurants"
zIpHRjY2nhvDZG-lGuDd1Q,Box Burger,,Greenwood,IN,46143,39.6136578,-86.1066526,4.0,"Restaurants, Food Trucks, American (New), Food, Burgers, Hot Dogs"
OqPqz33yPrTdUqCCWwPm5w,Village Pub & Package Goods,539 Chatsworth Rd,Tabernacle,NJ,08088,39.8439543812,-74.7094797148,4.5,"Nightlife, Restaurants, Italian, Bars, Pubs, American (Traditional)"
SZZj6OFa3--myhykIoHc2w,Stars Sandwich Market,443 N Pennsylvania St,Indianapolis,IN,46204,39.7738071,-86.1553436,4.0,"Food Delivery Services, Restaurants, Beer, Wine & Spirits, Food, Sandwiches, American (New), Chicken Wings, Salad"
bbdhBsp7lbQHhMi1S7TmwA,Americana 50s Diner,1730 US Hwy 19 N,Holiday,FL,34691,28.184431,-82.7395421,3.0,"Restaurants, Diners"
scrFzCIy6TTHu1nnYsJdFg,80 Flavours Ice Cream,4025 Gateway Boulevard,Edmonton,AB,T6J 5H2,53.4764803,-113.4911937,4.0,"Ice Cream & Frozen Yogurt, Comfort Food, Restaurants, Food"
PVo1orQ9R7ZHfg90QACh-w,Your Choice,3404 State St,Santa Barbara,CA,93105,34.4406266,-119.7367796,4.0,"Restaurants, Thai, Food, Chicken Wings, Ice Cream & Frozen Yogurt, Desserts"
tMsQnjwF4T8_a_JbfbaCFw,Doc's Smokehouse,"6108 Shoger Dr, Ste D",Edwardsville,IL,62025,38.7918317623,-89.9780601534,4.5,"Event Planning & Services, Food, Burgers, Salad, Sandwiches, Restaurants, Smokehouse, Caterers, Fast Food, American (Traditional), Barbeque"
siI0jxPhtrTAxV9GYJlBfg,Salem's Fresh Eats,1605 18th Ave S,Saint Petersburg,FL,33712,27.7523596,-82.6551169,2.5,"Greek, Middle Eastern, Seafood, Fast Food, Food, Diners, Ethnic Food, Salad, Chicken Wings, Sandwiches, Restaurants, Mediterranean, Specialty Food"
WR3EvRMn2M5JzXzeAgjdMQ,Pink Taco Truck,2020 Oddie Blvd,Sparks,NV,89431,39.5457845848,-119.7709832221,3.5,"Restaurants, Food Trucks, Food, Tacos, Mexican"
GsR6sSokCDzBvV9FL85Omw,Fine Pizza and Donair,14062 127 Street NW,Edmonton,AB,T6V 1K4,53.603418,-113.542692,3.0,"Pizza, Restaurants, Food, Burgers, Halal, Donairs"
l9MRSfjkapR3QNEsbQVrmg,Chinatown Cafe,1862 W Maple Ave,Langhorne,PA,19047,40.1737816,-74.9542585,4.0,"Chinese, Restaurants"
77drWZJuh-a1osUOrd7oQw,Carisma Restaurante,4042 Skippack Pike,Skippack,PA,19474,40.226709,-75.403848,4.0,"Restaurants, Mexican"
_Dr6GKqObRAS8xO0iTSCcA,Stone Soup Cafe,4122 16th St N,Saint Petersburg,FL,33703,27.8097878,-82.6552734,4.0,"Nightlife, Sandwiches, Soup, Salad, Restaurants, Bars, Food, Beer Bar, Pubs, Beer, Wine & Spirits, British"
PYkxu57UyHJw6kQKA22J-g,Rams Pizza Tavern,25 E Broadway Ave,Clifton Heights,PA,19018,39.928326,-75.2944096,3.0,"Restaurants, Bars, Nightlife, Pizza"
OyEoAiFoIWCOxUz67gCOCQ,The Wine Room,10525 Jasper Avenue NW,Edmonton,AB,T5J 1Z4,53.5406158,-113.5019942,4.0,"Bars, Restaurants, Wine Bars, Nightlife, Tapas/Small Plates"
O4p1gp7ywsCaMxw_jgO34A,Tavern at Eagle Island,6500N Linder Rd,Meridian,ID,83646,43.663547,-116.413331,4.0,"American (Traditional), Nightlife, Breakfast & Brunch, Burgers, Steakhouses, Restaurants, Seafood, Wine Bars, American (New), Bars"
FseVnbFK-PG_RwZhJVp7uw,Montesini Brick Oven Pizzeria & Restaurant,221-A Greentree Rd,Evesham Township,NJ,08053,39.9139068529,-74.921781201,3.5,"Restaurants, Italian, Pizza"
_50ktyxuUnfkRcDBELZpvg,Pizza Pie II,184 N Pine St,Langhorne,PA,19047,40.177601,-74.91775,4.5,"Event Planning & Services, Italian, Restaurants, Pizza, Caterers"
FTIOah_Ivhhj5d7tV_eh-g,Calle Mexico,1532-8882 170 Street NW,Edmonton,AB,T5T 4M2,53.5225673093,-113.6221166507,5.0,"Mexican, Restaurants"
gHuMBv4kPMZ_TP8FhN8ySw,Pierogi Factory,9965 Bustleton Ave,Philadelphia,PA,19115,40.1011904384,-75.028865528,4.5,"Imported Food, Specialty Food, Restaurants, Polish, Food, Modern European, Ethnic Food"
gT69S0R0gpmxwjCLznwT4A,Gio's,3621 W Waters Ave,Tampa,FL,33614,28.0274726,-82.5014256,4.0,"Nightlife, Bars, Italian, Wine Bars, Restaurants"
tVTMeplDBOFAa5ayvEcwGw,Two Guys From Hong Kong,"6015 S Virginia St, Ste B",Reno,NV,89502,39.4698893828,-119.7877671886,3.5,"Restaurants, Chinese, Caterers, Party & Event Planning, Seafood, Event Planning & Services, Diners, Food Delivery Services, Food"
4Io6tC1ElG85L39OgzkAJw,Desi Vega's Seafood and Prime Steaks,"111 Veterans Blvd, Ste 150",Metairie,LA,70005,30.0012042,-90.1239225,4.0,"Restaurants, Sandwiches, Steakhouses, Seafood"
2kXBqCeNyW3Oe9QOVUjOpA,La Scala’s,"1701 John F Kennedy Blvd, Ste C100",Philadelphia,PA,19103,39.9545813765,-75.1684700822,2.5,"Pizza, Salad, Italian, Restaurants, Sandwiches"
roZZJ1iZv96f6sl3tC4Fyw,Philly's Phatties,215 W Clinton Ave,Oaklyn,NJ,08107,39.90155,-75.08328,4.0,"Pizza, Restaurants, Chicken Wings, Cheesesteaks"
3Mkq8tRk9eb_eYY2ZAN1_g,Capri Pizza and Pasta,19265 N Dale Mabry Hwy,Lutz,FL,33548,28.1573390291,-82.480823515,4.0,"Restaurants, Pizza, Food, Sandwiches, Desserts, Salad"
gpTC5qka3HCQqnSyXlophg,Big Steins Deli,9001 4th St N,St Petersburg,FL,33702,27.8542701,-82.6383105,4.5,"Delis, Sandwiches, Restaurants, Wraps"
LHaG-Sg8crReTPNW33pauQ,Prime 47,47 S Pennsylvania St,Indianapolis,IN,46204,39.76584,-86.15609,4.0,"Arts & Entertainment, Nightlife, Restaurants, Steakhouses, Music Venues, Seafood"
9UZ9yZnllsV-SjukDl9n2g,Taqueria-El Ranchito,3512 W Rockville Rd,Indianapolis,IN,46222,39.7635833,-86.2206347,4.5,"Mexican, Restaurants"
-G2G-h_TjNLXzI5FCbaqQA,Oishi Sushi Bar,12856 W Hillsborough Ave,Tampa,FL,33635,28.0294511,-82.6389846,5.0,"Restaurants, Soup, Asian Fusion, Bars, Nightlife, Sushi Bars, Wine Bars"
Rf0DVg3MyX-MWokFZuaftA,Shogun Japanese Steak & Sushi,1638 Westgate Cir,Brentwood,TN,37027,35.9695908,-86.805510702,3.0,"Japanese, Restaurants"
AAnkLIGR0Ia20d62ADbknQ,La Patisserie,119 Flower Valley,Florissant,MO,63033,38.811217,-90.298416,5.0,"Cupcakes, Tea Rooms, Breakfast & Brunch, Bakeries, Restaurants, Food, Custom Cakes"
mR-zdKpv2UVr94lRglEu2w,Eagle Bar,3653 Germantown Ave,Philadelphia,PA,19140,40.0089586,-75.1504451,4.5,"Nightlife, Bars, Restaurants"
Db-zoswXyyBz7CjXW12Dtg,Jamrock Kitchen,502 N 63rd St,Philadelphia,PA,19151,39.970522,-75.245419,3.5,"Soup, Restaurants, Caribbean"
MJ_72QN7ea4dmHw8jtZ_Xg,Green leafs/Bananas,"18  Lightcap Rd, Space 1405",Pottstown,PA,19464,40.23639,-75.570003,2.5,"Restaurants, Salad"
Jy1ivHnSRtNNA6snZSAKBw,Twelve Mile Limit,500 S Telemachus St,New Orleans,LA,70119,29.968345514,-90.0999062539,4.5,"Restaurants, Nightlife, Food, Lounges, Desserts, Bars, Breakfast & Brunch, Cocktail Bars"
3CsBRtDT5WOUu8IY0mHhXw,Slices Pizza,4249 Ridge Ave,Philadelphia,PA,19129,40.0096537,-75.1954732,4.0,"Pizza, Food, Restaurants"
laIFViTUAQ9GSM0FUfALjg,Amazing Wok,530 Crown Point Rd,Thorofare,NJ,08086,39.8476434,-75.1819433,4.5,"Chinese, Szechuan, Restaurants"
yMeC2ltA33lJ-nBIQP4sJQ,Tre Famiglia,403 N Haddon Ave,Haddonfield,NJ,08033,39.9031428,-75.0392176,4.0,"Venues & Event Spaces, Italian, Restaurants, Food, Bakeries, Desserts, Gluten-Free, Event Planning & Services"
aa0xi7fgFJyA4qWux6vz0A,Carmen's Famous Italian Hoagies,12th St & Arch St,Philadelphia,PA,19107,39.9532735358,-75.1593375206,3.5,"Restaurants, Cheesesteaks, Sandwiches, Salad"
4e0AuvnWvjr2cJEaEdrtxA,88 China,3433 Nameoki Rd,Granite City,IL,62040,38.7244218,-90.1244384,4.0,"Chinese, Restaurants"
ywBRJjqtj2xIfsWzs8ungg,Taste of Chicago,180 E 1st St,Reno,NV,89501,39.5262381,-119.8104498,3.5,"Fast Food, Coffee & Tea, Hot Dogs, Food, Food Trucks, Pizza, Sandwiches, Restaurants"
0s-BXJhYQc_mLFjHD4Xbww,Terrain At Styers,914 Baltimore Pike,Glen Mills,PA,19342,39.883923,-75.531668,4.0,"Nurseries & Gardening, Shopping, Furniture Stores, Restaurants, Home Decor, Outdoor Furniture Stores, Home & Garden, American (Traditional), American (New)"
ma9zcqAdxJpMdeg5-UGNLw,DoubleTree by Hilton Hotel Tucson - Reid Park,445 S Alvernon Way,Tucson,AZ,85711,32.2152705896,-110.9086172,3.0,"Food, Restaurants, Mexican, Hotels & Travel, Event Planning & Services, Specialty Food, Hotels, Steakhouses"
tmtCM4RIWn_MOkSlGRLpkQ,Revolution Chop House,1160 1st Avenue,King Of Prussia,PA,19406,40.0971348776,-75.4150294411,3.0,"Bars, Restaurants, Seafood, Steakhouses, Cocktail Bars, Nightlife"
5-HPQP4UlNgmq0ejihbxuQ,Coffee and Coconuts,"4000 Hughes Crossing, Ste 120",Franklin,TN,37064,35.8622,-86.8449071,4.0,"Restaurants, Coffee & Tea, Food, Cafes, Breakfast & Brunch"
IkZgPqgwKSuQFAf4s0Z21g,Sawasdee Thai Restaurant,"2855 N McCarran Blvd, Ste 108",Sparks,NV,89431,39.5552506,-119.7535886,4.0,"Restaurants, Thai"
noOgqxlc1eBRduRd_DlCxg,Grassi's Ristorante & Deli,10450 German Blvd,Frontenac,MO,63131,38.643371,-90.408102,4.0,"Restaurants, Sandwiches, Pizza, Italian"
bjGCh-BnDg3QsVKFDWzoAA,Northside Bar & Grill,7526 N Shadeland Ave,Indianapolis,IN,46250,39.8916785,-86.0468273,3.0,"American (Traditional), Bars, Nightlife, Restaurants"
7dbUShu3yTUVNhTrdnF0FQ,Speggtacular Clearwater Beach,770 S Gulfview Blvd,Clearwater,FL,33767,27.9664346,-82.8227583,4.0,"Breakfast & Brunch, American (New), Restaurants"
